 event_id |               user_id                
----------+--------------------------------------
    38114 | e28351f5-4ccb-4549-8647-d43f2b15e7b8
    38114 | 4df2832a-1d63-4453-9659-43993fc35996
    51568 | bb1c0bc8-1212-452b-97a0-439d4a2169e2
    51568 | 63441abe-c4da-4275-ba26-66f7dbd65dde
    52790 | a1323b68-c82c-429a-8e2c-65597e648c1a
    52790 | e866fbd8-a46b-4431-9e19-f0966981f6c9
    51341 | 4ab072ed-8a41-4ed6-9877-8f1d1fbb24d2
    51341 | 30a19496-bdaf-461c-abbc-2709ae520201
    55048 | 43efce48-94b2-4412-857f-223d45969008
    55048 | 6daa4b70-1e22-46c8-bcb4-22d452e4add1
    50760 | 63441abe-c4da-4275-ba26-66f7dbd65dde
    50760 | 2ebe48bd-0d4b-41e3-9f7e-02e006227df9
    53026 | 43efce48-94b2-4412-857f-223d45969008
    53026 | e4e0a62e-5f9f-4d44-aa3f-e6827a926d9f
    54625 | ad7199dd-3bf6-4d6d-8ae7-448ecf90a4eb
    54625 | ab9a1804-b421-43d7-b052-84e15a1d8072
    51645 | 8fe03f08-8581-430c-a590-9888ab36deb3
    51645 | 3c5d30e3-8831-490e-a2a4-63e6ff1c33bb
    51153 | 696c838e-c054-4e9f-a51a-50bf5660f364
    51153 | 621ea7d1-5ffc-494a-a877-dd7d9c75bb79
    53356 | 30a19496-bdaf-461c-abbc-2709ae520201
    53356 | 5ac42f66-8533-46ab-9ccf-11aead34601f
    42871 | b37ccae8-fc31-4ad8-8f55-ca855b23fbf6
    42871 | baf18014-cd9a-4932-a2c0-729438c7f831
    51439 | ad7199dd-3bf6-4d6d-8ae7-448ecf90a4eb
    51439 | e8e6aaef-db62-41c2-aaed-395b240cbdd8
    43726 | 07bce6b2-ef5c-450d-9565-966c41260440
    43726 | c21c9daa-83d8-4804-b3e8-405addcfddb8
    55772 | 43efce48-94b2-4412-857f-223d45969008
    55772 | 3de70be3-7ede-41c0-a5f3-90e62ab4366e
    50866 | 8476b612-223f-4c86-9b0b-14bc04759233
    50866 | 38e5889b-ecdb-428b-9e9d-fb786ad35702
    47057 | 1596b1b3-43ff-4f97-948f-06d240666f52
    47057 | 603b8641-c6f6-4d89-ac89-88e50d45aa0d
    46571 | 43efce48-94b2-4412-857f-223d45969008
    46571 | 9d9029a2-c81a-49f7-84ee-7696eecd2f99
    51683 | 1071280f-18dd-40aa-bfed-248b003c09d3
    51683 | 220a5efc-4016-498b-ab9b-ac3208e564a3
    52980 | 61b0d9ee-1076-41ba-9ed6-ae29bdeaa2ca
    52980 | 74cc3ea9-8e49-4ab8-98e9-be20f7f0692b
    52977 | 2d4b8c71-3228-4293-b9ae-c2e5d826310a
    52977 | 2babd7d7-18e1-4cf8-9a3a-b3d8f75f6396
    52989 | 5c744ad1-83dc-4150-ba8c-217d7dce2730
