                  id                  | event_id | subject |       scheduled_time       
--------------------------------------+----------+---------+----------------------------
 1e7bb408-cfef-4a9f-8328-351c9483a64c |    38114 | phys    | 2020-01-19 12:00:00
 6d8e59d9-a7c8-4bb3-8ff3-99cd07acdf1a |    51568 | it      | 2020-01-19 13:00:00
 62e1a078-33de-47c1-99d2-845b1daca56f |    52790 | hist    | 2020-01-19 13:00:00
 00fc6685-f53a-49bb-b960-5e0042fd3852 |    51341 | phys    | 2020-01-17 12:00:00
 4cadf623-82e6-422f-a342-acf978302fb2 |    55048 | phys    | 2020-01-19 14:00:00
 f3f15fee-ad91-429c-8b1e-faeb42f78f58 |    50760 | it      | 2020-01-19 15:00:00
 e597a79a-3f68-4d15-bc77-c7000bcf8e52 |    53026 | phys    | 2020-01-19 15:00:00
 44e2e74c-8481-41a2-bd64-f6af688169b7 |    54625 | bio     | 2020-01-19 15:00:00
 ea6f0bf3-bcfc-4555-9b16-cc2cfe722e17 |    51645 | phys    | 2020-01-19 14:00:00
 7d56b43a-d137-446d-8570-8d7d5ccbaee9 |    51153 | phys    | 2020-01-20 17:00:00
 38a8b0ea-ff54-42cf-ab5b-742700ffcd0a |    53356 | phys    | 2020-01-20 10:00:00
 b1a122d7-b1c3-43c9-86e1-ec5e40456a3b |    42871 | phys    | 2020-01-20 10:00:00
 d8816fa1-dd30-4a4b-8bd1-32285dec279f |    51439 | bio     | 2020-01-20 12:00:00
 ec953406-b4a3-416a-b1b6-4c4853995047 |    43726 | phys    | 2020-01-11 07:00:00
 952674d6-5d00-4797-95f7-6686014a6b65 |    55772 | phys    | 2020-01-20 15:00:00
 7c60dff9-7145-4a89-8310-e5ad951f7758 |    50866 | bio     | 2020-01-11 09:00:00
 84adb28c-182d-4c9f-b5ef-4f8138368d85 |    47057 | phys    | 2020-01-11 09:00:00
 36e05c76-2e4d-46d8-bd3b-fdcfa98b962b |    46571 | phys    | 2020-01-11 09:00:00
 59e1a7df-46bf-4415-a711-67912df0f64a |    51683 | bio     | 2020-01-20 13:00:00
 4fd4f095-a793-4375-82e8-7250dd5036b0 |    52980 | phys    | 2020-01-11 18:00:00
 cf2dcbaf-06fb-4365-b34a-9c0858aa8098 |    52977 | hist    | 2020-01-11 07:00:00
 25387158-4669-405f-b5e5-c9bb00b82686 |    52989 | phys    | 2020-01-14 12:00:00
 d55749ed-5c0f-45f0-ad82-d3f908b31750 |    52705 | phys    | 2020-01-11 11:00:00
 0e30fdbd-2af7-40c7-8f38-336c9d8512f3 |    38111 | phys    | 2020-01-11 12:00:00
 06277d4e-db4a-4fa0-b9f8-b1063088ad75 |    56195 | phys    | 2020-01-20 14:00:00
 68b78f3c-8ec7-43e6-97df-3b667b692735 |    48046 | phys    | 2020-01-20 14:00:00
 7971b2cc-921c-478d-898b-055f24a3ea4f |    52971 | hist    | 2020-01-11 07:00:00
 b76a2201-61cc-4a0a-b4b4-79de223f0dfd |    52996 | hist    | 2020-01-11 07:00:00
 e81fb3ec-cc64-4b68-bf37-3166fdf9cc4b |    55811 | phys    | 2020-01-20 13:00:00
 f45e03f0-2fce-45e4-8e6d-c002836f7a83 |    51745 | phys    | 2020-01-11 13:00:00
 3beb41b9-4718-49e7-b8c3-ae8231f2494f |    55989 | it      | 2020-01-20 14:00:00
 88358f7b-9e2e-4e09-b454-b496c1fd6c6f |    53037 | hist    | 2020-01-11 09:00:00
 546846b7-c712-462e-b085-3d49f178f156 |    51035 | phys    | 2020-01-20 14:00:00
 7cfeb47b-e82a-451a-8fa5-b1ad04ab0d32 |    51811 | phys    | 2020-01-20 14:00:00
 cb4da1e0-ba8f-443b-bd57-83f18d9e1e5b |    53047 | hist    | 2020-01-12 12:00:00
 809b1ff3-1bd8-40df-8d1d-a02fd4663fc1 |    51748 | hist    | 2020-01-20 13:00:00
 472f43db-d10f-4724-822f-13109a46ef57 |    51409 | bio     | 2020-01-11 14:00:00
 8d5309cf-0389-4666-9753-b05c2be6ca92 |    53057 | hist    | 2020-01-12 09:00:00
 b2a4f15a-3f88-40b1-9481-9d6c325133da |    53058 | hist    | 2020-01-12 09:00:00
 4dc61644-1742-495b-887f-f2cf619923ff |    53066 | hist    | 2020-01-11 10:00:00
 e4bceee9-afd9-49da-b02e-b9fed1c2edee |    54196 | phys    | 2020-01-20 15:00:00
 a48f35b9-7df3-49f6-b2d6-bad0a04902a7 |    53103 | phys    | 2020-01-11 09:00:00
 f0a766fe-155e-47a0-b81b-25274b938c82 |    56271 | hist    | 2020-01-20 14:26:37.696964
 532375c0-6e91-493c-9ebd-dcbfbb3650ce |    53121 | bio     | 2020-01-11 10:00:00
 9926dee3-690e-40c5-a99a-83100997d135 |    53143 | hist    | 2020-01-12 13:00:00
 f197bc6a-96b6-4400-8f44-b0ad845b51ce |    54801 | hist    | 2020-01-20 14:00:00
 2354a2f2-fecc-4be0-8be6-983beb58f4b1 |    51785 | it      | 2020-01-20 16:00:00
 f8453e66-402c-47ae-bebc-57f78711691f |    56139 | it      | 2020-01-20 15:00:00
 13612a4d-ab26-4c3a-ad28-1b3df22775db |    53065 | hist    | 2020-01-11 10:00:00
 a87ea620-ec76-4137-ae59-43547fa078e3 |    40727 | it      | 2020-01-11 14:00:00
 cfcdf998-010e-4779-b023-7aafa6da7196 |    49971 | it      | 2020-01-15 15:00:00
 1721ee8e-5c4d-4bfc-82e2-42a6a13938cc |    51377 | it      | 2020-01-11 08:00:00
 5fdde4b2-a2a5-4c5a-b5f6-0c6a4b798db5 |    55686 | bio     | 2020-01-20 15:00:00
 e71bb14c-4065-4636-b458-ba8f3b02b7a3 |    48403 | phys    | 2020-01-11 09:00:00
 8a1b5817-e69e-4da2-b590-4c952c63e709 |    55747 | bio     | 2020-01-20 16:00:00
 0f508f97-931f-430c-92dd-f1ba004c9f21 |    52051 | phys    | 2020-01-12 09:00:00
 6e567835-2cb0-4e53-8f26-3e878d6a38de |    52754 | it      | 2020-01-11 08:00:00
 883e272f-c15b-4bf7-8066-f4a8e1862249 |    50880 | phys    | 2020-01-12 09:30:00
 3123485b-f8ad-49ac-9636-6d5534f04f8b |    49238 | it      | 2020-01-20 17:00:00
 05a93eb6-a458-44ef-afa6-3a0097319908 |    48293 | phys    | 2020-01-11 10:00:00
 388d7bef-cb56-4af0-a976-7b9afdeaf893 |    53041 | phys    | 2020-01-11 09:00:00
 1f88bf01-002d-45f8-86cc-923014f15561 |    51569 | phys    | 2020-01-12 10:00:00
 941e81ec-d2ec-4bc3-83dc-3f29e252eed5 |    43635 | phys    | 2020-01-20 17:00:00
 9b53d173-1937-40d7-abba-0ca060c6dc20 |    50881 | phys    | 2020-01-11 10:00:00
 4fd4f01e-04d3-4048-a91e-0f863bccf843 |    51909 | phys    | 2020-01-11 10:00:00
